english_term	hindi_equivalent	maithili	ipa_maithili	domain
eigenvector		[TRANSLATE:eigenvector]		machine_learning
covariance matrix		[TRANSLATE:covariance matrix]		machine_learning
ensemble method		[TRANSLATE:ensemble method]		machine_learning
bagging		[TRANSLATE:bagging]		machine_learning
boosting		[TRANSLATE:boosting]		machine_learning
k-means		[TRANSLATE:k-means]		machine_learning
k-nearest neighbors		[TRANSLATE:k-nearest neighbors]		machine_learning
ROC curve		[TRANSLATE:ROC curve]		machine_learning
true positive		[TRANSLATE:true positive]		machine_learning
false positive		[TRANSLATE:false positive]		machine_learning
true negative		[TRANSLATE:true negative]		machine_learning
false negative		[TRANSLATE:false negative]		machine_learning
pre-training		[TRANSLATE:pre-training]		machine_learning
perturbation		[TRANSLATE:perturbation]		machine_learning
robustness		[TRANSLATE:robustness]		machine_learning
adversarial example		[TRANSLATE:adversarial example]		machine_learning
adversarial training		[TRANSLATE:adversarial training]		machine_learning
triplet loss		[TRANSLATE:triplet loss]		machine_learning
metric learning		[TRANSLATE:metric learning]		machine_learning
pruning		[TRANSLATE:pruning]		machine_learning
quantization aware training		[TRANSLATE:quantization aware training]		machine_learning
mixed precision training		[TRANSLATE:mixed precision training]		machine_learning
feed-forward network		[TRANSLATE:feed-forward network]		machine_learning
skip connection		[TRANSLATE:skip connection]		machine_learning
weight initialization		[TRANSLATE:weight initialization]		machine_learning
Xavier initialization		[TRANSLATE:Xavier initialization]		machine_learning
He initialization		[TRANSLATE:He initialization]		machine_learning
gradient accumulation		[TRANSLATE:gradient accumulation]		machine_learning
warmup schedule		[TRANSLATE:warmup schedule]		machine_learning
cosine annealing		[TRANSLATE:cosine annealing]		machine_learning
learning rate scheduler		[TRANSLATE:learning rate scheduler]		machine_learning
lexeme		[TRANSLATE:lexeme]		linguistics
grapheme		[TRANSLATE:grapheme]		linguistics
phonology		[TRANSLATE:phonology]		linguistics
morphology		[TRANSLATE:morphology]		linguistics
pragmatics		[TRANSLATE:pragmatics]		linguistics
rhythm		[TRANSLATE:rhythm]		linguistics
diphthong		[TRANSLATE:diphthong]		linguistics
voiced		[TRANSLATE:voiced]		linguistics
voiceless		[TRANSLATE:voiceless]		linguistics
aspirated		[TRANSLATE:aspirated]		linguistics
retroflex		[TRANSLATE:retroflex]		linguistics
alveolar		[TRANSLATE:alveolar]		linguistics
velar		[TRANSLATE:velar]		linguistics
palatal		[TRANSLATE:palatal]		linguistics
labial		[TRANSLATE:labial]		linguistics
nasal		[TRANSLATE:nasal]		linguistics
fricative		[TRANSLATE:fricative]		linguistics
affricate		[TRANSLATE:affricate]		linguistics
approximant		[TRANSLATE:approximant]		linguistics
stop consonant		[TRANSLATE:stop consonant]		linguistics
plosive		[TRANSLATE:plosive]		linguistics
International Phonetic Alphabet		[TRANSLATE:International Phonetic Alphabet]		linguistics
Romanization		[TRANSLATE:Romanization]		linguistics
code-mixing		[TRANSLATE:code-mixing]		linguistics
diglossia		[TRANSLATE:diglossia]		linguistics
bilingualism		[TRANSLATE:bilingualism]		linguistics
language identification		[TRANSLATE:language identification]		linguistics
script detection		[TRANSLATE:script detection]		linguistics
part-of-speech tagging		[TRANSLATE:part-of-speech tagging]		linguistics
dependency parsing		[TRANSLATE:dependency parsing]		linguistics
constituency parsing		[TRANSLATE:constituency parsing]		linguistics
text classification		[TRANSLATE:text classification]		linguistics
word2vec		[TRANSLATE:word2vec]		linguistics
FastText		[TRANSLATE:FastText]		linguistics
BPE		[TRANSLATE:BPE]		linguistics
WordPiece		[TRANSLATE:WordPiece]		linguistics
SentencePiece		[TRANSLATE:SentencePiece]		linguistics
unigram model		[TRANSLATE:unigram model]		linguistics
language family		[TRANSLATE:language family]		linguistics
agglutinative		[TRANSLATE:agglutinative]		linguistics
inflectional		[TRANSLATE:inflectional]		linguistics
isolating		[TRANSLATE:isolating]		linguistics
morphological analysis		[TRANSLATE:morphological analysis]		linguistics
compound word		[TRANSLATE:compound word]		linguistics
sandhi rules		[TRANSLATE:sandhi rules]		linguistics
conjunct consonant		[TRANSLATE:conjunct consonant]		linguistics
articulatory phonetics		[TRANSLATE:articulatory phonetics]		phonetics
acoustic phonetics		[TRANSLATE:acoustic phonetics]		phonetics
auditory phonetics		[TRANSLATE:auditory phonetics]		phonetics
place of articulation		[TRANSLATE:place of articulation]		phonetics
manner of articulation		[TRANSLATE:manner of articulation]		phonetics
aspiration		[TRANSLATE:aspiration]		phonetics
nasalization		[TRANSLATE:nasalization]		phonetics
coarticulation		[TRANSLATE:coarticulation]		phonetics
elision		[TRANSLATE:elision]		phonetics
gemination		[TRANSLATE:gemination]		phonetics
lenition		[TRANSLATE:lenition]		phonetics
fortition		[TRANSLATE:fortition]		phonetics
monophthong		[TRANSLATE:monophthong]		phonetics
triphthong		[TRANSLATE:triphthong]		phonetics
suprasegmental		[TRANSLATE:suprasegmental]		phonetics
segment		[TRANSLATE:segment]		phonetics
allophone		[TRANSLATE:allophone]		phonetics
minimal pair		[TRANSLATE:minimal pair]		phonetics
complementary distribution		[TRANSLATE:complementary distribution]		phonetics
free variation		[TRANSLATE:free variation]		phonetics
phonotactics		[TRANSLATE:phonotactics]		phonetics
onset		[TRANSLATE:onset]		phonetics
coda		[TRANSLATE:coda]		phonetics
pitch accent		[TRANSLATE:pitch accent]		phonetics
lexical tone		[TRANSLATE:lexical tone]		phonetics
contour tone		[TRANSLATE:contour tone]		phonetics
register tone		[TRANSLATE:register tone]		phonetics
downdrift		[TRANSLATE:downdrift]		phonetics
downstep		[TRANSLATE:downstep]		phonetics
breathy voice		[TRANSLATE:breathy voice]		phonetics
creaky voice		[TRANSLATE:creaky voice]		phonetics
modal voice		[TRANSLATE:modal voice]		phonetics
ejective		[TRANSLATE:ejective]		phonetics
implosive		[TRANSLATE:implosive]		phonetics
vowel harmony		[TRANSLATE:vowel harmony]		phonetics
consonant cluster		[TRANSLATE:consonant cluster]		phonetics
syllabification		[TRANSLATE:syllabification]		phonetics
resyllabification		[TRANSLATE:resyllabification]		phonetics
connected speech		[TRANSLATE:connected speech]		phonetics
sandhi		[TRANSLATE:sandhi]		phonetics
formant transition		[TRANSLATE:formant transition]		phonetics
voice onset time		[TRANSLATE:voice onset time]		phonetics
harmonic to noise ratio		[TRANSLATE:harmonic to noise ratio]		phonetics
HNR		[TRANSLATE:HNR]		phonetics
glottal pulse		[TRANSLATE:glottal pulse]		phonetics
glottal flow		[TRANSLATE:glottal flow]		phonetics
acoustic correlate		[TRANSLATE:acoustic correlate]		phonetics
perception		[TRANSLATE:perception]		phonetics
spoofing detection		[TRANSLATE:spoofing detection]		anti_spoofing
speech synthesis attack		[TRANSLATE:speech synthesis attack]		anti_spoofing
voice conversion attack		[TRANSLATE:voice conversion attack]		anti_spoofing
presentation attack		[TRANSLATE:presentation attack]		anti_spoofing
detection error tradeoff		[TRANSLATE:detection error tradeoff]		anti_spoofing
bonafide speech		[TRANSLATE:bonafide speech]		anti_spoofing
spoof speech		[TRANSLATE:spoof speech]		anti_spoofing
genuine speech		[TRANSLATE:genuine speech]		anti_spoofing
tandem detection cost function		[TRANSLATE:tandem detection cost function]		anti_spoofing
LFCC		[TRANSLATE:LFCC]		anti_spoofing
linear frequency cepstral coefficients		[TRANSLATE:linear frequency cepstral coefficients]		anti_spoofing
CQCC		[TRANSLATE:CQCC]		anti_spoofing
constant Q cepstral coefficients		[TRANSLATE:constant Q cepstral coefficients]		anti_spoofing
light convolutional neural network		[TRANSLATE:light convolutional neural network]		anti_spoofing
LCNN		[TRANSLATE:LCNN]		anti_spoofing
max feature map		[TRANSLATE:max feature map]		anti_spoofing
MFM activation		[TRANSLATE:MFM activation]		anti_spoofing
ASVspoof challenge		[TRANSLATE:ASVspoof challenge]		anti_spoofing
logical access		[TRANSLATE:logical access]		anti_spoofing
audio deepfake		[TRANSLATE:audio deepfake]		anti_spoofing
generative adversarial network		[TRANSLATE:generative adversarial network]		anti_spoofing
variational autoencoder		[TRANSLATE:variational autoencoder]		anti_spoofing
VAE		[TRANSLATE:VAE]		anti_spoofing
WaveNet		[TRANSLATE:WaveNet]		anti_spoofing
WaveRNN		[TRANSLATE:WaveRNN]		anti_spoofing
HiFi-GAN		[TRANSLATE:HiFi-GAN]		anti_spoofing
Griffin-Lim		[TRANSLATE:Griffin-Lim]		anti_spoofing
WORLD vocoder		[TRANSLATE:WORLD vocoder]		anti_spoofing
bilingual corpus		[TRANSLATE:bilingual corpus]		translation_nmt
monolingual corpus		[TRANSLATE:monolingual corpus]		translation_nmt
pivot language		[TRANSLATE:pivot language]		translation_nmt
high-resource language		[TRANSLATE:high-resource language]		translation_nmt
data augmentation for NMT		[TRANSLATE:data augmentation for NMT]		translation_nmt
METEOR score		[TRANSLATE:METEOR score]		translation_nmt
TER score		[TRANSLATE:TER score]		translation_nmt
alignment model		[TRANSLATE:alignment model]		translation_nmt
phrase-based translation		[TRANSLATE:phrase-based translation]		translation_nmt
subword segmentation		[TRANSLATE:subword segmentation]		translation_nmt
vocabulary size		[TRANSLATE:vocabulary size]		translation_nmt
cross-lingual transfer		[TRANSLATE:cross-lingual transfer]		translation_nmt
multilingual model		[TRANSLATE:multilingual model]		translation_nmt
terminology extraction		[TRANSLATE:terminology extraction]		translation_nmt
transliteration model		[TRANSLATE:transliteration model]		translation_nmt
script conversion		[TRANSLATE:script conversion]		translation_nmt
IndicTrans		[TRANSLATE:IndicTrans]		translation_nmt
NLLB		[TRANSLATE:NLLB]		translation_nmt
mBART		[TRANSLATE:mBART]		translation_nmt
XLM-RoBERTa		[TRANSLATE:XLM-RoBERTa]		translation_nmt
